id	name	class	stars	eddie	awakenable	talismans	basic	power	passive	fury
allied-soldier-warrior	Allied Soldier	Warrior	4	false	false	WSW	"• Deals 6 hits of physical damage to all enemies.
• 55% Chance to gain Lifesteal on self for 2 turns.
• 35% Chance to Heal Block all enemies for 2 turns."	"• Increase Magic Resistance of all allies for 3 turns.
• Revive a random ally with full HP.
• Revive all allies with full HP if you have Lifesteal active."	"Grant Increased Max HP and ATK to self for 2 turns at the start of battle."	""
angel-eddie-gunner	Angel Eddie	Gunner	5	true	false	GSG	"• Deals random damage to a single target.
• Remove Damage Invulnerability Effects, including Vanish and Invincibility, from the target.
• 35% Chance to inflict Stun on the target for 1 turn.
• 35% Chance to inflict Blind on the target for 1 turn.
• 35% Chance to inflict Stop on the target for 1 turn.
• Damage dealt increased based on your DEF and MR stats.
• Deals random damage to a single target.
• Steal 1 Beneficial Effect, including Golden Effects, from the target.
• Lower DEF and MR of the target for 1 turn.
• 45% Chance to Inflict Lower ATK, MAGIC, and Taunt on the target for 2 turns.
• Damage dealt increased based on your DEF and MR stats.
• Deals random damage to all enemies.
• 75% Chance to grant Perfect Hit to each ally for 2 turns.
• Increase Accuracy of all allies for 2 turns.
• Damage dealt increased based on your DEF and MR stats."	"• Heal all allies based on your MISSING HP.
• Remove Vanish and Invincibility from all enemies.
• 35% Chance to inflict Perfect Corruption for 2 turns.
• Instantly gain an Extra Turn.
• Deals random damage to all enemies.
• Remove Silver Effects from all allies.
• Grant Cleanse and Trap to all allies for 2 turns.
•Inflict Perfect Accuracy Down on the target for 3 turns.
• Instantly gain an Extra Turn
• Revive up to 2 dead allies.
• Grant Perfect Immortality to all allies for 2 turns.
• Grant Perfect Titan Shield to all allies for 2 turns."	"Prevent all enemies from gaining Immunity effects
Grant Immunity or Perfect Immunity to each ally at Start of battle for 1 turn
Gain Perfect Heal Shield for self and grant Void Shield and 2 stacks of HP Regen to all allies for 2 turns when you reach 1 HP."	""
angel-of-death-assassin	Angel Of Death	Assassin	4	false	false	AAA	"• Deals true damage to a single target.
• 35% Chance to inflict Perfect Bleed on the target for 2 turns.
• Remove All Golden Effects and inflict 3 Marks and Perfect Death on the target for 2 turns if Perfect Bleed is already on present on the target."	"• Grant Invincibility, Increased ATK, and Increase MAGIC to all allies for 2 turns.
• Grant an Extra Turn to self and a target ally.
• Grant 12 Power and Echo to all allies for 2 turns if any enemy has Perfect Bleed active."	"Grant Endure to all allies at the start of battle for 3 turns
Grant Counterstrike to all allies for 2 turns and fully heal allies if any ally’s HP falls to zero."	""
angel-of-fear-warrior	Angel Of Fear	Warrior	4	false	false	WGW	"• Deals 3 hits of true damage to a single target.
• 20% Chance to Stun with each hit.
• Damage dealt increases based on the MAX HP of you and your enemy."	"• Deals 2 hits of physical damage to enemies.
• 30% Chance to Lower DEF of enemies.
• Damage increases the higher your SPECIAL stat."	"Allies gain an extra turn if your team gets the first kill in a battle."	""
angel-of-mercy-gunner	Angel Of Mercy	Gunner	4	false	false	SMS	"• Deals magic damage to all enemies.
• 50% Chance to inflict HP Drain on all enemies for 2 turns."	"• Heal all allies based on their MAX HP.
• Grant a Random Golden Effect for each Golden Effect currently on each ally."	"Revive the first ally that dies in battle and grant them Perfect Immunity and Perfect Immortality for 3 turns."	""
angel-of-pain-magus	Angel Of Pain	Magus	4	false	false	MSM	"• Deals magic damage to all enemies.
• Lower Accuracy of enemies for 1 turn.
• Increase Accuracy of allies for 1 turn."	"• Deals 3 hits of magic damage to all enemies.
• 45% Chance to inflict Shock for 3 turns.
• Shock deals magic damage for 2 turns with a chance to Lower Power each turn."	"Reduces the duration of beneficial effects every turn
(Does not apply to first turn beneficial effects)"	""
angel-of-strife-sentinel	Angel Of Strife	Sentinel	4	false	false	SGS	"• Deals 3 hits of true damage to a single target.
• 20% Chance to Stun with each hit.
• Damage dealt increases based on the MAX HP of you and your enemy."	"• Grants Immunity for 1 turn.
• Invincibility for 1 turn.
• 40% Chance to Taunt all enemies for 1 turn."	"Takes the damage for any ally below 50% HP or any attack that would reduce an ally below 50% HP."	""
anubis-assassin	Anubis	Assassin	4	false	false	AAA	"• Deals one hit of physical and magic damage to a single target.
• Inflict Heal Block on the target for 2 turns.
• 35% Chance to grant Perfect Accuracy to all allies for 1 turn.
• If Accuracy or Perfect Accuracy is already present, instantly Gain 3 Power and an Extra Turn and remove Perfect Accuracy from self."	"• Deals one hit of physical and magic damage to all enemies.
• Remove Golden Effects from enemies, excluding Shroud, Soul Protect, and Perfect Immortality.
• Revive a random dead ally.
• Grant Damage Reflect Shield to all allies for 2 turns.
• Instantly grant an Extra Turn to self and one random ally for each target that is suffering from Heal Block."	"Grants Immunity to Doom, Curse, and Permadeath to all allies
50% Chance to remove Immunity from each enemy at the start of battle
Inflict ATK Down and MAGIC down on all enemies for 2 turns at the start of battle
Revive all allies upon death."	""
anubis-gunner	Anubis	Gunner	4	false	false	SGS	"• Deals magic damage to all enemies.
• Inflict Stop and Seal on enemies for 2 turn.
• Grant a Random Beneficial Effect, including Golden Effects to allies with Cleanse or Immunity status active.
• Damage dealt increases based on the enemy’s MAX HP."	"• Deals magic damage to all enemies.
• Inflict Perfect Death on enemies for 2 turns, before dealing damage.
• Damage dealt increases based on the enemy’s MAX HP."	"Grants Immunity to Permadeath, Perfect Death, and Doom to all allies
35% Chance to grant Immunity or Cleanse status to each ally every turn for 1 turn."	""
anubis-magus	Anubis	Magus	4	false	false	SAS	"• Deals one hit of physical and magic damage to all enemies.
• Remove Counter Attack and Immunity effects, including Vanish, from each enemy before dealing damage.
• 35% Chance to inflict Perfect Death on each enemy for 1 turn.
• Damage dealt increases based on your MAX HP."	"• Deals one hit of physical and magic damage to all enemies.
• Remove Perfect Immunity and Damage Block effects from each enemy before dealing damage.
• 35% Chance to inflict Curse on each enemy for 2 turns.
• 35% Chance to inflict Exhaust on each enemy for 2 turns.
• Damage dealt increases based on your MAX HP."	"Immune to Doom
Reduce all damage to self by 50%
35% Chance to grant a random defensive effect to allies when they take damage."	""
anubis-sentinel	Anubis	Sentinel	3	false	false	SWS	"• Deals one hit of physical damage to a single target.
• Inflict Grievous Burn and Ignite on the target for 1 turn.
• 35% Chance to grant Perfect Accuracy to each ally for 2 turns."	"• Grant Regen to all allies for 2 turns.
• Lower DEF of all enemies for 1 turn.
• Increase ATK of allies for 2 turns.
• 35% Chance to grant an Extra Turn to each ally."	"Immune to Doom
Decrease the MAX HP of a random enemy by 5% every turn
Heal a random ally based on their MISSING HP every turn."	""
anubis-warrior	Anubis	Warrior	3	false	false	ASA	"• Deals one hit of physical and magic damage to a single target.
• 35% Chance to Extend Beneficial Effect Duration on each ally by 1 turn.
• 35% Chance to Extend Negative Effect Duration on the enemy by 1 turn.
• This attack does not wake enemies inflicted with Sleep."	"• Deals one hit of physical and magic damage to a single target.
• Revive a dead ally with 60% HP.
• Inflict Sleep on a random enemy for 1 turn.
• Grant an Extra Turn to self and a random ally.
• This attack does not wake enemies inflicted with Sleep."	"Immune to Doom
Stun any target that is asleep for 1 turn at the start of your turn."	""
apma-robo-scout-warrior	Apma, Robo Scout	Warrior	4	false	false	WWW	"• Deals 3 hits of physical damage to a single target.
• 35% Chance to Remove a Beneficial Effect each hit.
• Lower ATK and MAGIC of the target for 2 turns."	"• Deals physical damage to all enemies.
• Inflict 3 Physical Burn and Flame effects on enemies for 2 turns.
• 50% Chance to inflict Permadeath on each enemy for 2 turns."	"Remove Immunity and Perfect Immunity from up to 2 enemies every turn."	""
artillery-dog-assassin	Artillery Dog	Assassin	4	false	false	SWS	"• Deals physical damage to all enemies.
• 45% Chance to inflict Bleed for 2 turns.
• Bleed deals true damage over time with a chance to Heal Block every turn."	"• Increases ATK and Endure status for self and up to 2 additional allies."	"Grants Immunity to all allies for 1 turn at the start of the battle
Grants immunity to a random ally every following turn."	""
astra-valkyrie-slayer-assassin	Astra, Valkyrie Slayer	Assassin	4	false	false	AAA	"• Deals 3 hits of true damage to all enemies.
• 15% Chance to Remove A Beneficial Effect per hit.
• Stun the target if a beneficial effect is removed."	"• Deals true damage to all enemies.
• 50% Chance to inflict Perfect Corruption, Permadeath, and Heal Block for 2 turns."	"Grants Immunity to Mark, Doom, and Curse effects for all allies."	""
axis-bomber-boy-assassin	Axis Bomber Boy	Assassin	3	false	false	AAA	"• Deals true damage to all enemies.
• 30% Chance to Mark for 4 turns.
• Marks can be consumed with Perfect Hits to deal additional true damage."	"• 50% Chance to Remove 2 Beneficial Effects from all enemies.
• Lowers DEF of all enemies.
• 50% Chance to inflict Permadeath.
• Instantly gain an Extra Turn.
• Permadeath prevents the target from being revived if they die."	"Explodes upon death, dealing true damage to all enemies based on the [32CD32]MAX HP[-] of you and the enemy."	""
axis-bomber-boy-warrior	Axis Bomber Boy	Warrior	4	false	false	AAA	"• Deals true damage to all enemies.
• 30% Chance to Mark for 4 turns.
• Marks can be consumed with Perfect Hits to deal additional true damage."	"• Gain 3 Power Instantly.
• 45% Chance to Silence all enemies for 1 turn.
• 50% Chance to gain an Extra Turn."	"Grants increased Accuracy to all allies for 2 turns at the start of battle."	""
axis-soldier-assassin	Axis Soldier	Assassin	3	false	false	AGA	"• Deals 4 hits of random damage to a single target.
• 15% Chance for each ally to gain an Extra Turn.
• An Extra Turn will let a character attack again if they’ve already acted that turn."	"• Deals 20% of the target’s MAX HP as true damage.
• 35% Chance to Inflict Exhaust on all enemies for 1 turn.
• Grants Perfect Hit to all allies for 1 turn.
• 45% Chance to gain an Extra Turn."	""	""
axis-soldier-magus	Axis Soldier	Magus	3	false	false	MSM	"• 3 hits of magic damage to a single target.
• 30% Chance to inflict Permadeath.
• Damage has a chance to Critically Strike.
• Permadeath prevents the target from being revived if they die."	"• Deals 2 hits of magic damage to all enemies.
• Heal all allies for 35% of their HP if this attack kills an enemy."	""	""
banshee-assassin	Banshee	Assassin	4	false	false	GAG	"• Deals one hit of physical, magic, and true damage to a single target.
• Grants Perfect Immunity to all allies for 1 turn, before dealing damage.
• Heal for 15% of your MAX HP."	"• Deal 50% of your CURRENT HP in true damage to Revive all allies with full HP.
• Grants Increase DEF and MR to all allies for 2 turns.
• Grant HP Regen to self for 2 turns.
• Instantly gain an Extra Turn."	"Grant your allies a 35% chance to avoid damage when they are attacked
Failing to avoid a hit deals a percentage of their MAX HP as random damage."	""
banshee-gunner	Banshee	Gunner	4	false	false	GGG	"• Deals 3 hits of true damage to a single target.
• Remove Invincibility and Vanish effects, before dealing damage.
• 25% Chance to Steal a Golden Effect each hit.
• Inflict Perfect Corruption and Silence for 1 turn."	"• Reduce Duration of Beneficial Effects on all enemies by 2.
• Inflict Crave, Blinding Burn, and Perfect Accuracy Down on each enemy for 2 turns.
• Grant a Random Offensive Effect to each ally."	"Remove a beneficial effect from each enemy everytime you take damage"	""
banshee-magus	Banshee	Magus	4	false	false	SGS	"• Deals 3 hits of magic damage to a single target.
• Remove Immunity and Invincibility effects, including Vanish.
• Inflict 2 Shock and Flame effects on the target for 2 turns.
• Heal self for 15% of your MAX HP."	"• Remove All Negative Effects, including Silver effects, from all allies.
• Grant Reflect Shield to all allies for 2 turns.
• 35% Chance to grant each ally an Extra Turn."	"Inflict Stop on a random enemy for 2 turns every turn
Stop prevents the target from gaining Extra Turns
Generate 1 point of Power whenever you take damage."	""
banshee-sentinel	Banshee	Sentinel	4	false	false	SSS	"• Deal 3 hits of random damage to a single target that increases based on their MAX HP.
• Remove all Shield and Damage Type Block effects from the target before dealing damage.
• 50% Chance to grant Reflect Shield to all allies for 2 turns."	"• Heal all allies based on your MAX HP.
• Grant Perfect Accuracy to all allies for 2 turns.
• Grant DEF and MR Charge to all allies and immediately grant Increased DEF and MR to all allies."	"Cleanse and grant Immortality to all allies upon death
Revive with full HP upon death and immediately gain an Extra Turn if it’s still your team’s turn."	""
banshee-warrior	Banshee	Warrior	4	false	false	WWW	"• Deals 3 hits of physical damage to a single target.
• Inflict Bleed, Grievous Burn, and Perfect Corruption for 2 turns.
• 35% Chance to Extend the Duration of Negative Effects by 1 turn.
• Damage dealt increases based on your DEF."	"• Heal all allies based on their ATK and DEF.
• Increase ATK and DEF of all allies for 2 turns.
• Lower ATK and DEF of all enemies for 2 turns.
• Instantly gain an Extra Turn."	"Remove offensive effects from all enemies every turn
Gain a random Damage Invulnerability Effect if a Damage Reduction Shield is active at the start of your turn
Gain Perfect Immunity for the duration of battle."	""
baphomet-magus	Baphomet	Magus	5	false	true	MMM	"• Deal random damage to all enemies that increases based on their MAX HP and MISSING HP.
• Reactivate your passive if disabled before dealing damage.
• Remove 4 Negative Effects, including Silver effects, from self.
• 35% Chance to Remove All Beneficial Effects, including Golden effects, from each enemy.
• Deal 4 hits of Additional Random Damage to random enemies based on their MAX HP and MISSING HP if not inflicted with negative effects.
• This attack does not wake sleeping enemies."	"• Deal 6 hits of random damage to each enemy that increases based on their MAX HP and MISSING HP.
• Reactivate your passive if disabled before dealing damage.
• Inflict Toxic Burn on all enemies for 2 turns.
• Grant Immunity or Perfect Immunity to each ally for 1 turn.
• Deal 6 hits of Additional Random Damage to random enemies based on their MAX HP and MISSING HP if not inflicted with negative effects.
• This attack does not wake sleeping enemies."	""	"• Deal random damage to each enemy that increases based on their MAX HP and MISSING HP.
• Reactivate your passive if disabled before dealing damage.
• Inflict Curse on all enemies 3 turns.
• Inflict Unblockable Sleep on random enemy 2 turns.
• Gain a Random Offensive Effect for 2 turns.
• Deal 6 hits of Additional Random Damage to each enemy based on their MAX HP and MISSING HP if not inflicted with negative effects.
• This attack does not wake sleeping enemies."
baphomet-warrior	Baphomet	Warrior	5	false	true	WWW	"• Deal random damage to all enemies that increases based on their MAX HP and MISSING HP.
• Reactivate your passive if disabled before dealing damage.
• Remove 4 Negative Effects, including Silver effects, from self.
• 35% Chance to Remove All Beneficial Effects, including Golden effects, from each enemy.
• Deal 4 hits of Additional Random Damage to random enemies based on their MAX HP and MISSING HP if not inflicted with negative effects.
• This attack does not wake sleeping enemies."	"• Deal 6 hits of random damage to each enemy that increases based on their MAX HP and MISSING HP.
• Reactivate your passive if disabled before dealing damage.
• Inflict Toxic Burn on all enemies for 2 turns.
• Grant Immunity or Perfect Immunity to each ally for 1 turn.
• Deal 6 hits of Additional Random Damage to random enemies based on their MAX HP and MISSING HP if not inflicted with negative effects.
• This attack does not wake sleeping enemies."	""	"• Deal random damage to each enemy that increases based on their MAX HP and MISSING HP.
• Reactivate your passive if disabled before dealing damage.
• Inflict Curse on all enemies 3 turns.
• Inflict Unblockable Sleep on random enemy 2 turns.
• Gain a Random Offensive Effect for 2 turns.
• Deal 6 hits of Additional Random Damage to each enemy based on their MAX HP and MISSING HP if not inflicted with negative effects.
• This attack does not wake sleeping enemies."
baroness-redan-gunner	Baroness Redan	Gunner	5	false	true	SMS	"• Deal 4 hits of magic damage to a single target that increases based on their ATK and DEF stats.
• 50% Chance to Critically Strike.
• Heal self and a random ally per hit.
• Inflict Stun on the target for 1 turn if their HP is below 50%.
• This attack does not wake sleeping enemies."	"• Deal 4 hits of magic damage to each enemy that increases based on their ATK and DEF stats.
• 50% Chance to Critically Strike.
• 50% Chance to Remove a Beneficial and Golden Effect from all enemies, Heal a random ally and grant an Extra Turn to a random ally per hit.
• This attack does not wake sleeping enemies."	"Immune to all Negative Effects, except Crave, Perfect Crave, Heal Reduction, Heal Block and Perfect Heal Block
Grant Critical Strike Chance to self and a random ally for 1 turn at the start of your turn
35% Chance to counterattack when anyone on your team takes damage
This skill can only be countered by Passive Disable applied at the start of battle."	""
bass-eddie-magus	Bass Eddie	Magus	5	true	false	MGM	"• Deals magic damage to a single target.
• 35% Chance to inflict Perfect Accuracy Down on the target for 2 turns.
• Remove Silver Effects from self and up to two random allies.
• 50% Chance to Steal a Random Beneficial Effect from a random enemy.
• 50% Chance to Steal a Random Golden Effect from a random enemy.
• Deals magic damage to a single target.
• 35% Chance to grant Perfect Accuracy to all allies for 2 turns.
• Remove Silver Effects from self and up to two random allies.
• 50% Chance to Steal a Random Beneficial Effect from a random enemy.
• 50% Chance to Steal a Random Golden Effect from a random enemy.
• Deals magic damage to a single target.
• Inflict Stop on the target for 2 turns.
• Stop prevents the opponent from gaining Extra Turns.
• Remove Silver Effects from self and up to two random allies.
• 50% Chance to Steal a Random Beneficial Effect from a random enemy.
• 50% Chance to Steal a Random Golden Effect from a random enemy."	"• Grant True Shield to all allies for 2 turns.
• Grant Echo to all allies for 2 turns.
• Instantly grant an Extra Turn to self and a random ally.
• Deals magic damage to a single target.
• Increase MAGIC of allies by 50% and Decrease MAGIC of the target by 50% permanently for the duration of battle.
• Remove Negative Effects, including Silver effects from all allies.
• Instantly gain an Extra Turn.
• 50% Chance to Steal a Random Beneficial Effect from a random enemy.
• 50% Chance to Steal a Random Golden Effect from a random enemy.
• Heal all allies based on your MAGIC stat.
• Grant Perfect Heal Shield to all allies for 1 turn.
• 50% Chance to Steal a Random Beneficial Effect from a random enemy.
• 50% Chance to Steal a Random Golden Effect from a random enemy."	""	"• Deals magic damage to all enemies.
• Remove All Golden Effects from each enemy, before dealing damage.
• Grant Physical, Magic, and True Charge to all allies for the duration of battle.
• 25% Chance to grant each ally an Extra Turn.
• 50% Chance to Steal a Random Beneficial Effect from a random enemy.
• 50% Chance to Steal a Random Golden Effect from a random enemy."
bastion-sentinel	Bastion	Sentinel	5	false	false	SMS	"• Deals magic damage to a single target that increases based on your MAX HP.
• 45% Chance to Stun the target for 1 turn.
• 35% Chance to grant Accuracy Up to each ally for 2 turns."	"• Heal all allies based on your MAX HP.
• Revive a random dead ally with Full HP.
• 35% Chance to grant Revenge to self for 2 turns.
• 100% Chance for Revenge if you have Accuracy Up.
• 35% Chance to grant Counterstrike to allies for 2 turns."	"Immune to Stun and Reduce Max HP effects
Gain Perfect Hit and 100% Critical Strike status for 1 turn if Regen is active at the start of your turn."	""
battlefield-trooper-eddie-warrior	Battlefield Trooper Eddie	Warrior	5	true	false	WWW	"• Deals 2 hits of physical damage to a single target.
• Increase DEF of allies for 2 turns.
• Remove Negative Effects, including Silver Effects, from all allies on Perfect Hits.
• Deals 2 hits of physical damage to a single target.
• Gain Perfect Hit status for 2 turns and 100% Critical Strike Chance for 1 turn on Perfect Hits.
• Deals 2 hits of physical damage to a single target.
• Attacks have a 25% Chance to Critically Strike.
• Grant Heal Shield for self and up to 3 allies on Perfect Hits."	"• Grant Immortality to an ally for 2 turns.
• Grants an Extra Turn to the target ally.
• Instantly gain an Extra Turn.
• Deals 3 hits of physical damage to all enemies.
• 50% Chance for each ally to gain Counterstrike for 1 turn.
• Increase MR of allies for 2 turns.
• Heal all allies based on their ATK stat."	"Gain immunity to Passive Disable effects after the first round of battle
Remove All Negative Effects, including Silver Effects, and grant Perfect Hit, Charge, Lifesteal and Spell Vamp to each ally below 50% HP for 1 turn at the start of your turn."	""
beast-eddie-assassin	Beast Eddie	Assassin	5	true	false	AAA	"• Deals physical and magic damage to all enemies.
• Reduce the MAX HP of enemies by 10%.
• 35% Chance to Heal Block enemies for 2 turns.
• Deals physical and magic damage to all enemies.
• 35% Chance to Disable Passives of enemies for 1 turn.
• Deals physical and magic damage to all enemies.
• Inflict HP Drain on enemies for 2 turns.
• 35% Chance to Exhaust enemies for 2 turns."	"• Transform all Immunity and Invincibility effects (including Golden Effects) on a single target into Permadeath for 3 turns.
• Instantly gain an Extra Turn if an effect is transformed.
• Inflict Crave on all enemies for 2 turns.
• Inflicts Bloodlust for 2 turns on all enemies.
• Instantly gain an Extra Turn.
• Bloodlust heals your team based on the enemy’s MAX HP when you attack the enemy inflicted by the status.
• Heal all allies based on the number of negative effects on each enemy.
• Revive a dead ally and grant them Shroud status for 3 turns.
• Shroud converts all damage to true damage equal to 5% of your MAX HP. and grants immunity to Reduce MAX HP effects."	""	"• Deals physical and magic damage to all enemies.
• Inflict Doom on enemies for 5 turns.
• Inflict 3 Furious Burns on enemies for 1 turn.
• Remove All Negative Effects from allies, including Silver Effects."
beelzebub-warrior	Beelzebub	Warrior	5	false	false	SSS	"• Deals physical damage to all enemies.
• 75% Chance to inflict up to 3 Physical Burns.
• 50% Chance to inflict Perfect Death on each enemy for 2 turns."	"• Deals magic damage to all enemies.
• 40% Chance to inflict Seal on each enemy for 3 turns.
• 40% Chance to Blind all enemies.
• Remove All Beneficial Effects, including Golden Effects minus Shroud, Soul Protect, and Perfect Immortality.
• Revive a random ally for each effect removed.
• Instantly Gain an Extra Turn."	""	"• Deals true damage to all enemies.
• Grants Vanish for 3 turns to all allies.
• Grant Golden Hit to all allies for 3 turns."
